field,index,value
SDPval,0,3.94883e+08
SDPval,1,26211.6
SDPval,2,26211.6
SDPval,3,1918.95
SDPval,4,2050.1
gradnorm,0,1.77357
startingRank,0,2
endingRank,0,5
initialization_time,0,0.053
elapsed_optimization_times,0,4.087
elapsed_optimization_times,1,13.727
elapsed_optimization_times,2,0.015
elapsed_optimization_times,3,20.605
elapsed_optimization_times,4,0.544
verification_times,0,0.055
verification_times,1,0.202
verification_times,2,0.038
verification_times,3,0.035
FinalOptimizationTime,0,38.978
FinalTotalTime,0,39.614
